IDConsulta;Creation_Time;Index_Suggestions_Flag;Warnings_Flag;Table_Scan_Flag;Index_Scan_Flag;last_execution_time;last_worker_time;last_logical_reads;last_elapsed_time;Categoria
277;2025-02-28 06:41:20.077;0;1;0;1;2025-02-28 06:41:20.087;9653;16;9655;1
278;2025-02-28 06:41:16.660;0;0;0;1;2025-02-28 06:41:16.690;687112;47835;381259;1
279;2025-02-28 06:41:39.670;0;1;0;1;2025-02-28 06:41:39.700;27717;4084;30077;1
280;2025-02-28 06:41:33.357;0;0;0;1;2025-02-28 06:41:33.403;727568;47835;224657;1
281;2025-02-28 06:41:33.357;0;0;0;1;2025-02-28 06:41:44.733;748294;47835;256053;1
282;2025-02-28 06:41:52.013;0;0;0;1;2025-02-28 06:41:52.013;1207;16;1208;1
283;2025-02-28 06:41:00.413;0;0;0;1;2025-02-28 06:41:57.023;941155;47857;587606;1
284;2025-02-28 06:42:08.677;0;0;0;1;2025-02-28 06:42:08.683;2175;16;2177;1
285;2025-02-28 06:42:08.677;0;0;0;1;2025-02-28 06:42:13.700;1623;16;1624;1
286;2025-02-28 06:42:27.293;0;1;0;1;2025-02-28 06:42:27.323;26540;3435;26542;1
287;2025-02-28 06:42:22.623;0;0;0;1;2025-02-28 06:42:22.657;1044609;47835;627057;1
288;2025-02-28 06:42:31.360;0;0;0;1;2025-02-28 06:42:31.360;201;2;444;2
289;2025-02-28 06:42:37.560;0;0;0;1;2025-02-28 06:42:37.587;626;20;627;2
290;2025-02-28 06:42:48.663;0;0;0;1;2025-02-28 06:42:48.667;525;2;527;2
291;2025-02-28 06:42:43.637;0;1;0;1;2025-02-28 06:42:43.647;7895;16;7897;1
292;2025-02-28 06:43:21.517;0;0;0;1;2025-02-28 06:43:21.517;116;2;117;2
293;2025-02-28 06:43:13.457;0;0;0;1;2025-02-28 06:43:13.463;1784;16;1786;1
294;2025-02-28 06:43:33.797;0;1;0;1;2025-02-28 06:43:33.803;6993;16;6994;1
295;2025-02-28 06:43:31.777;0;0;0;1;2025-02-28 06:43:31.783;4847;16;4849;1
296;2025-02-28 06:43:46.160;0;0;0;1;2025-02-28 06:43:46.203;5250;1284;12376;1
297;2025-02-28 06:43:59.873;0;1;0;1;2025-02-28 06:43:59.897;22814;3435;22816;1
298;2025-02-28 06:43:33.797;0;1;0;1;2025-02-28 06:43:52.853;5489;16;5490;1
299;2025-02-28 06:43:21.517;0;0;0;1;2025-02-28 06:44:05.933;54;2;55;2
300;2025-02-28 06:43:46.160;0;0;0;1;2025-02-28 06:44:10.937;3709;1260;3775;1
301;2025-02-28 06:44:27.420;0;0;0;1;2025-02-28 06:44:27.427;1925;3;2232;1
302;2025-02-28 06:44:24.020;0;0;0;1;2025-02-28 06:44:24.020;265;2;266;2
303;2025-02-28 06:44:29.040;0;0;0;1;2025-02-28 06:44:29.070;906;20;907;2
304;2025-02-28 06:44:26.030;0;0;0;1;2025-02-28 06:44:26.030;196;2;197;2
305;2025-02-28 06:44:24.020;0;0;0;1;2025-02-28 06:44:35.237;131;2;132;2
306;2025-02-28 06:44:39.440;0;1;0;1;2025-02-28 06:44:39.450;955;16;956;1
307;2025-02-28 06:44:49.970;0;1;0;1;2025-02-28 06:44:49.973;3602;16;3603;1
308;2025-02-28 06:44:47.520;0;0;0;1;2025-02-28 06:44:47.670;1786652;47370;1385452;1
309;2025-02-28 06:45:00.070;0;0;0;1;2025-02-28 06:45:00.070;138;2;138;2
310;2025-02-28 06:44:49.970;0;1;0;1;2025-02-28 06:44:52.990;5110;16;5111;1
311;2025-02-28 06:44:49.970;0;1;0;1;2025-02-28 06:45:02.183;2837;16;2837;1
312;2025-02-28 06:45:05.360;0;0;0;1;2025-02-28 06:45:05.363;4443;2;10790;1
313;2025-02-28 06:45:08.230;0;0;0;1;2025-02-28 06:45:08.263;722739;47835;395191;1
314;2025-02-28 06:45:05.207;0;0;0;1;2025-02-28 06:45:05.410;1305;16;1306;1
315;2025-02-28 06:45:26.833;0;0;0;1;2025-02-28 06:45:26.833;343;2;344;2
316;2025-02-28 06:45:28.353;0;0;0;1;2025-02-28 06:45:28.410;716585;47835;238814;1
317;2025-02-28 06:45:38.663;0;0;0;1;2025-02-28 06:45:38.683;561;20;561;2
318;2025-02-28 06:45:26.833;0;0;0;1;2025-02-28 06:45:36.850;108;2;109;2
319;2025-02-28 06:45:49.477;0;0;0;0;2025-02-28 06:45:49.500;76;0;77;2
320;2025-02-28 06:45:46.927;0;0;0;1;2025-02-28 06:45:47.053;689676;47857;402098;1
321;2025-02-28 06:45:40.863;0;0;0;1;2025-02-28 06:45:40.870;829;16;830;2
